skill,ACCOUNTANT,ADVOCATE,AGRICULTURE,APPAREL,ARTS,AUTOMOBILE,AVIATION,BANKING,BPO,BUSINESS-DEVELOPMENT,CHEF,CONSTRUCTION,CONSULTANT,DESIGNER,DIGITAL-MEDIA,ENGINEERING,FINANCE,FITNESS,HEALTHCARE,HR,INFORMATION-TECHNOLOGY,PUBLIC-RELATIONS,SALES,TEACHER,total,domain
Six Sigma,2,2,0,2,0,3,16,2,0,8,1,1,5,1,0,12,3,1,4,3,2,1,1,0,70,project_management
Linux,0,4,0,0,1,0,3,3,1,1,0,1,8,4,0,8,0,1,2,0,25,1,1,0,64,cloud_devops
Spring,1,0,3,4,2,0,2,3,0,3,2,2,1,4,3,3,3,5,1,2,5,7,1,3,60,backend_frameworks
Network Security,0,1,1,1,2,3,6,2,1,5,0,2,3,0,1,3,1,0,0,0,24,1,0,0,57,networking_security
InDesign,0,0,1,1,2,0,0,1,0,3,0,0,2,17,7,1,1,0,0,2,2,11,1,0,52,design_creative
Java,0,1,1,0,2,1,3,3,1,2,1,1,9,2,1,10,1,0,3,1,9,0,0,0,52,programming_languages
Unix,0,2,0,2,1,3,3,4,0,0,0,0,8,2,0,4,1,0,1,0,17,1,0,0,49,cloud_devops
Analytics,0,2,0,4,1,0,0,0,0,4,0,0,3,1,21,0,1,1,0,1,0,7,2,0,48,sales_marketing
Multitasking,2,6,1,2,3,1,1,1,0,1,1,5,2,2,0,4,2,3,5,1,1,0,2,2,48,soft_skills
Photography,1,2,0,4,3,0,1,1,2,2,2,1,2,8,6,0,2,1,1,0,0,6,1,1,47,design_creative
SEO,0,2,1,3,0,0,0,1,0,3,2,0,3,2,19,0,1,0,1,0,2,5,1,0,46,sales_marketing
CSS,0,0,1,1,0,1,1,0,1,0,1,1,4,10,9,4,0,0,2,0,8,0,1,1,46,web_frontend
Digital Marketing,0,2,0,1,1,0,0,2,0,4,0,0,0,0,26,0,1,0,1,0,0,6,2,0,46,sales_marketing
Agile,0,0,1,2,0,0,1,3,0,0,0,0,6,5,6,7,2,2,2,0,5,2,2,0,46,project_management
Surgery,3,6,1,1,2,0,3,0,0,0,1,0,3,1,0,0,0,6,12,0,0,1,4,0,44,healthcare
CPA,18,0,1,1,0,0,0,1,1,0,0,1,3,0,2,1,13,0,1,1,0,0,0,0,44,certifications
SQL Server,0,1,0,0,0,2,0,2,1,0,0,0,12,1,0,4,0,0,3,0,14,1,1,0,42,databases
Taxation,18,1,1,2,0,0,0,5,0,1,1,0,0,0,0,0,8,0,0,2,0,1,0,1,41,business_finance
